customer_id,tenure_months,monthly_spend,late_deliveries_90d,support_tickets_90d,purchases_90d,segment,churned
CL-00001,69,152191.0,7,4,4,ocasional,0
CL-00002,61,220527.0,4,1,14,ocasional,0
CL-00003,44,240619.0,0,5,9,frecuente,0
CL-00004,1,165266.0,1,3,10,frecuente,0
CL-00005,28,101160.0,4,4,5,alto_valor,1
CL-00006,17,109518.0,7,8,6,alto_valor,1
CL-00007,6,343612.0,7,6,10,alto_valor,1
CL-00008,9,343469.0,2,5,0,alto_valor,1
CL-00009,34,79359.0,5,7,15,ocasional,0
CL-00010,52,80365.0,2,1,1,alto_valor,0
CL-00011,44,195940.0,7,6,12,frecuente,1
CL-00012,23,248353.0,5,2,9,ocasional,1
CL-00013,30,225997.0,2,5,8,frecuente,0
CL-00014,42,156857.0,1,3,6,frecuente,0
CL-00015,59,146566.0,6,5,1,ocasional,0
CL-00016,4,102015.0,1,8,5,alto_valor,1
CL-00017,41,165934.0,3,2,10,frecuente,0
CL-00018,21,240374.0,6,6,9,frecuente,1
CL-00019,20,138120.0,1,2,2,ocasional,0
CL-00020,69,74677.0,0,0,2,ocasional,0
CL-00021,61,140247.0,2,9,6,alto_valor,0
CL-00022,66,208520.0,4,3,8,frecuente,0
CL-00023,19,201587.0,4,8,11,frecuente,1
CL-00024,26,147518.0,5,5,4,frecuente,1
CL-00025,5,143896.0,5,6,5,ocasional,1
CL-00026,50,287106.0,3,7,9,frecuente,0
CL-00027,6,112242.0,7,9,3,frecuente,1
CL-00028,33,197841.0,6,8,3,ocasional,1
CL-00029,29,158745.0,3,7,5,frecuente,1
CL-00030,37,158300.0,5,4,3,frecuente,1
CL-00031,11,111617.0,3,1,12,ocasional,0
CL-00032,41,168184.0,7,3,15,ocasional,1
CL-00033,63,186740.0,2,9,10,alto_valor,0
CL-00034,56,43172.0,1,5,11,alto_valor,0
CL-00035,61,209962.0,5,2,16,frecuente,0
CL-00036,38,163847.0,6,2,6,alto_valor,1
CL-00037,31,157794.0,0,4,6,frecuente,0
CL-00038,57,66882.0,3,5,0,frecuente,1
CL-00039,45,229844.0,2,3,15,frecuente,0
CL-00040,13,286646.0,7,8,4,ocasional,1
CL-00041,21,83242.0,1,5,13,ocasional,0
CL-00042,70,131247.0,3,0,9,frecuente,0
CL-00043,65,169833.0,3,0,9,ocasional,0
CL-00044,9,217229.0,1,5,8,ocasional,0
CL-00045,28,217758.0,3,9,5,frecuente,1
CL-00046,55,146972.0,3,1,3,alto_valor,0
CL-00047,15,154765.0,7,8,4,frecuente,1
CL-00048,41,118693.0,0,6,11,ocasional,0
CL-00049,67,141420.0,4,2,1,frecuente,0
CL-00050,5,159567.0,5,0,8,frecuente,1
