transaction_id,amount,hour,device_age_days,attempts_24h,country_match,channel,is_fraud
TX-00001,76408.0,9,136,3,1,call_center,0
TX-00002,116582.0,20,759,4,1,app,0
TX-00003,66231.0,5,763,1,1,app,0
TX-00004,67499.0,8,1118,5,1,app,0
TX-00005,114950.0,21,938,4,1,web,0
TX-00006,115788.0,4,280,2,1,web,0
TX-00007,99765.0,10,242,7,1,web,0
TX-00008,20358.0,2,6,4,1,app,0
TX-00009,43792.0,5,338,6,1,web,0
TX-00010,55497.0,21,961,4,0,app,0
TX-00011,142287.0,16,304,5,1,app,0
TX-00012,76184.0,0,890,4,1,web,0
TX-00013,51304.0,9,1178,5,1,app,0
TX-00014,102728.0,16,656,7,1,app,0
TX-00015,98057.0,0,995,3,1,app,0
TX-00016,26176.0,23,526,1,0,web,0
TX-00017,119052.0,18,121,5,1,app,0
TX-00018,49899.0,22,568,1,1,web,0
TX-00019,88556.0,19,903,1,1,call_center,0
TX-00020,110783.0,21,712,2,1,web,0
TX-00021,30865.0,15,889,5,1,web,0
TX-00022,216572.0,8,33,6,1,web,0
TX-00023,29467.0,17,890,3,1,app,0
TX-00024,158488.0,14,980,7,1,web,0
TX-00025,130332.0,14,465,2,1,app,0
TX-00026,62507.0,16,370,7,1,app,0
TX-00027,219278.0,18,1165,5,1,web,0
TX-00028,41939.0,12,829,1,1,web,0
TX-00029,21427.0,1,732,3,1,web,0
TX-00030,74573.0,4,918,2,1,call_center,0
TX-00031,31507.0,11,84,6,1,app,0
TX-00032,68405.0,22,1143,6,1,call_center,0
TX-00033,93128.0,23,86,3,1,app,0
TX-00034,287494.0,6,687,5,1,app,0
TX-00035,59513.0,9,1061,1,1,web,0
TX-00036,80232.0,15,1127,3,1,app,0
TX-00037,132256.0,0,432,3,1,web,0
TX-00038,149423.0,7,117,5,1,call_center,0
TX-00039,65860.0,21,963,7,1,call_center,0
TX-00040,165285.0,5,1051,3,1,call_center,0
TX-00041,29711.0,11,331,4,1,web,0
TX-00042,45574.0,12,282,7,1,web,0
TX-00043,39379.0,22,673,2,1,app,0
TX-00044,54867.0,16,693,7,1,web,0
TX-00045,125421.0,14,584,6,1,app,0
TX-00046,74396.0,4,898,6,1,web,1
TX-00047,172251.0,15,496,3,1,app,0
TX-00048,21633.0,18,961,4,1,web,0
TX-00049,43739.0,15,670,4,1,app,0
TX-00050,143452.0,0,858,2,1,web,0
TX-00051,64495.0,14,318,3,1,app,0
TX-00052,52421.0,13,616,4,1,app,0
TX-00053,15000.0,6,1158,4,1,web,0
TX-00054,128556.0,18,225,2,1,app,0
TX-00055,27482.0,10,1005,4,1,web,0
TX-00056,106135.0,19,889,3,1,web,0
TX-00057,28931.0,9,850,6,1,app,0
TX-00058,44952.0,4,392,1,1,call_center,0
TX-00059,281310.0,19,907,6,1,web,0
TX-00060,29382.0,21,79,6,0,call_center,1
TX-00061,32033.0,14,1167,7,1,call_center,0
TX-00062,60106.0,1,515,3,0,web,1
TX-00063,15000.0,6,899,4,0,app,0
TX-00064,72324.0,5,933,1,1,app,0
TX-00065,74809.0,22,525,6,1,web,0
TX-00066,55859.0,1,641,5,1,web,0
TX-00067,34241.0,12,1026,7,1,web,0
TX-00068,66684.0,19,258,6,1,web,0
TX-00069,39797.0,18,276,1,1,web,0
TX-00070,53059.0,7,32,4,1,web,0
TX-00071,34732.0,8,53,7,1,app,0
TX-00072,120995.0,5,614,4,1,web,0
TX-00073,50284.0,13,776,4,1,app,0
TX-00074,167330.0,17,796,2,1,call_center,0
TX-00075,33438.0,11,903,2,1,web,0
TX-00076,55773.0,17,1065,7,1,web,0
TX-00077,38553.0,22,1033,5,1,app,0
TX-00078,106761.0,15,1102,2,1,web,0
TX-00079,196265.0,10,245,6,1,app,0
TX-00080,141142.0,14,1171,2,1,web,0
TX-00081,299140.0,15,1107,3,0,web,0
TX-00082,114957.0,22,705,1,0,app,0
TX-00083,18065.0,8,1046,5,1,web,0
TX-00084,85946.0,7,1058,5,1,app,0
TX-00085,180258.0,6,958,6,1,app,0
TX-00086,133419.0,16,976,4,1,app,0
TX-00087,77901.0,4,158,1,1,web,0
TX-00088,82604.0,19,236,4,1,app,0
TX-00089,80903.0,10,595,6,1,app,0
TX-00090,15000.0,18,280,1,1,app,0
TX-00091,34522.0,15,643,5,1,app,0
TX-00092,116555.0,15,972,2,1,app,0
TX-00093,204708.0,4,87,3,1,app,0
TX-00094,35647.0,16,705,5,1,call_center,0
TX-00095,43477.0,16,715,1,1,app,0
TX-00096,101672.0,6,588,2,1,web,0
TX-00097,103074.0,20,1041,7,0,app,1
TX-00098,59762.0,7,671,3,0,app,0
TX-00099,35080.0,11,1135,1,1,web,0
TX-00100,141151.0,13,906,1,1,web,0
TX-00101,160383.0,13,1122,6,1,web,0
TX-00102,20569.0,3,174,6,1,call_center,0
TX-00103,19236.0,13,245,3,0,call_center,1
TX-00104,114831.0,15,140,2,1,app,0
TX-00105,82432.0,23,533,5,1,web,0
TX-00106,31812.0,12,314,1,1,app,0
TX-00107,55868.0,21,174,1,1,call_center,0
TX-00108,79997.0,7,743,5,1,web,0
TX-00109,181152.0,14,153,1,1,web,0
TX-00110,117627.0,20,29,2,1,app,0
TX-00111,122786.0,12,1033,4,1,web,0
TX-00112,130198.0,2,1160,7,1,web,0
TX-00113,81231.0,7,1194,7,1,web,0
TX-00114,73993.0,19,116,5,1,app,0
TX-00115,65798.0,19,663,4,1,app,0
TX-00116,131794.0,13,239,7,1,call_center,0
TX-00117,45629.0,8,483,5,1,web,0
TX-00118,21658.0,16,883,1,0,call_center,0
TX-00119,172113.0,1,237,7,1,web,0
TX-00120,128389.0,23,1091,4,1,web,0
TX-00121,588553.0,10,120,6,1,web,0
TX-00122,153350.0,16,537,1,1,app,0
TX-00123,55336.0,5,656,3,1,web,0
TX-00124,46533.0,5,21,3,1,web,0
TX-00125,387663.0,3,1095,4,1,app,0
TX-00126,151125.0,11,331,7,1,app,0
TX-00127,19397.0,17,1096,2,1,app,0
TX-00128,42665.0,23,1179,1,1,app,0
TX-00129,67822.0,17,331,5,1,web,0
TX-00130,190925.0,7,70,4,1,app,0
TX-00131,42899.0,10,3,2,1,web,0
TX-00132,15000.0,2,1192,2,0,app,0
TX-00133,125688.0,2,1073,6,1,web,0
TX-00134,19760.0,19,246,5,1,app,0
TX-00135,54332.0,15,853,5,1,app,0
TX-00136,15252.0,13,854,5,0,web,1
TX-00137,45070.0,16,1188,2,1,app,0
TX-00138,69703.0,0,1071,4,0,web,1
TX-00139,15000.0,22,458,3,1,app,0
TX-00140,28305.0,23,192,3,1,web,0
TX-00141,95475.0,16,1169,1,1,web,0
TX-00142,45752.0,0,81,4,1,web,0
TX-00143,138427.0,13,401,5,1,web,0
TX-00144,41096.0,10,814,4,1,call_center,0
