campaign_id,city,segment,channel,category,discount_pct,baseline_orders,avg_ticket,unit_cost,logistics_capacity,seasonality_index,baseline_return_rate,incremental_orders_pct
CMP-0001,Pereira,Frecuente,Tienda,Bienestar,10,431,210413.0,119822.0,0.581,0.964,0.04,6.167
CMP-0002,Bogota,Ocasional,Tienda,Educacion,5,350,121559.0,73102.0,0.82,1.073,0.05,4.441
CMP-0003,Bogota,En riesgo,Digital,Bienestar,15,177,269248.0,180605.0,0.598,0.938,0.048,13.194
CMP-0004,Manizales,Ocasional,Tienda,Bienestar,5,209,224684.0,122226.0,0.674,0.829,0.097,1.817
CMP-0005,Manizales,En riesgo,Tienda,Hogar,25,348,226993.0,121959.0,0.778,0.919,0.02,5.892
CMP-0006,Medellin,Ocasional,Tienda,Tecnologia,0,108,408151.0,214756.0,0.679,0.984,0.056,0.404
CMP-0007,Pereira,En riesgo,Digital,Hogar,5,276,145561.0,107714.0,0.647,1.247,0.019,15.449
CMP-0008,Bogota,Alto valor,Digital,Bienestar,10,366,288715.0,171708.0,0.866,0.977,0.113,12.192
CMP-0009,Bucaramanga,Ocasional,Digital,Tecnologia,5,373,185389.0,125798.0,0.796,0.84,0.098,4.21
CMP-0010,Pereira,Frecuente,Digital,Tecnologia,5,585,328120.0,248523.0,0.928,1.062,0.118,12.923
CMP-0011,Manizales,Ocasional,Digital,Hogar,15,679,282382.0,192209.0,0.812,1.214,0.111,5.023
CMP-0012,Medellin,Ocasional,Digital,Educacion,10,532,288451.0,186346.0,0.768,1.154,0.048,10.316
CMP-0013,Bogota,En riesgo,Tienda,Bienestar,15,129,189133.0,121995.0,0.668,1.176,0.088,10.025
CMP-0014,Bogota,En riesgo,Digital,Bienestar,20,333,202581.0,123668.0,0.906,1.218,0.047,20.389
CMP-0015,Bogota,Frecuente,Tienda,Bienestar,15,532,329544.0,218800.0,0.639,1.086,0.108,8.175
CMP-0016,Bogota,Ocasional,Tienda,Tecnologia,15,448,392810.0,294651.0,0.659,1.248,0.058,8.459
CMP-0017,Manizales,Ocasional,Tienda,Hogar,10,363,296023.0,209919.0,0.929,0.815,0.054,6.752
CMP-0018,Pereira,Frecuente,Digital,Tecnologia,5,350,192693.0,119820.0,0.884,1.176,0.111,11.018
